Inventaire,Item_Original,Latin_Standard,Categorie
"Rostaing de Greoux (Manosque, 1547)",Emplastrum trya pharmacon,,EMPLASTRUM
"Rostaing de Greoux (Manosque, 1547)",Emplastrum ceronei,,EMPLASTRUM
"Rostaing de Greoux (Manosque, 1547)",Emplastrum oxicroceum,,EMPLASTRUM
"Rostaing de Greoux (Manosque, 1547)",Cere ceum cymine,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Emplastrum de mellilote,,EMPLASTRUM
"Rostaing de Greoux (Manosque, 1547)",Emplastrum de ceruza,,EMPLASTRUM
"Rostaing de Greoux (Manosque, 1547)",Emplastrum pro matrice,,EMPLASTRUM
"Rostaing de Greoux (Manosque, 1547)",Emplastrum de gratia dei,,EMPLASTRUM
"Rostaing de Greoux (Manosque, 1547)",Emplastrum divinum,,EMPLASTRUM
"Rostaing de Greoux (Manosque, 1547)",Emplastrum contra rupturan,,EMPLASTRUM
"Rostaing de Greoux (Manosque, 1547)",Emplastrum pro stomaco,,EMPLASTRUM
"Rostaing de Greoux (Manosque, 1547)",Emplastrum de betonica,,EMPLASTRUM
"Rostaing de Greoux (Manosque, 1547)",Emplastrum de bacis lauri,,EMPLASTRUM
"Rostaing de Greoux (Manosque, 1547)",Los conserves ensembles les potz tout au poys.,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Conserve rosarum,Rosa,CONSERVA
"Rostaing de Greoux (Manosque, 1547)",Conserve violarum,Viola,CONSERVA
"Rostaing de Greoux (Manosque, 1547)",Conserve acori,Acorus,CONSERVA
"Rostaing de Greoux (Manosque, 1547)",Conserve anthos,,CONSERVA
"Rostaing de Greoux (Manosque, 1547)",Conserve acetoze,,CONSERVA
"Rostaing de Greoux (Manosque, 1547)",Conserve yringorum,,CONSERVA
"Rostaing de Greoux (Manosque, 1547)",Conserve nenupharis,Nymphaea,CONSERVA
"Rostaing de Greoux (Manosque, 1547)",Conserve buglosse,Borago,CONSERVA
"Rostaing de Greoux (Manosque, 1547)",Conserve borraginis,Borago,CONSERVA
"Rostaing de Greoux (Manosque, 1547)",Conserve florum cichori,,CONSERVA
"Rostaing de Greoux (Manosque, 1547)",Conserve salvie,,CONSERVA
"Rostaing de Greoux (Manosque, 1547)",Conserve capillorum veneris,,CONSERVA
"Rostaing de Greoux (Manosque, 1547)",Conserve simphiti,,CONSERVA
"Rostaing de Greoux (Manosque, 1547)",Conserve violarum,Viola,CONSERVA
"Rostaing de Greoux (Manosque, 1547)",Conserve caparis,,CONSERVA
"Rostaing de Greoux (Manosque, 1547)",Conserve yris,,CONSERVA
"Rostaing de Greoux (Manosque, 1547)",Conserve scolopendrie,,CONSERVA
"Rostaing de Greoux (Manosque, 1547)",Corticis citri conditi,,CONSERVA
"Rostaing de Greoux (Manosque, 1547)",Conserve limarins net,,CONSERVA
"Rostaing de Greoux (Manosque, 1547)",Confectionis Hamec ¾.,,ELECTUARIUM
"Rostaing de Greoux (Manosque, 1547)",Dya phiniconis,,ELECTUARIUM
"Rostaing de Greoux (Manosque, 1547)",Cassie cum sacharo en deux potz,Cassia_fistula,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Cassie cum melle,Cassia_fistula,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Dya catholicon,,ELECTUARIUM
"Rostaing de Greoux (Manosque, 1547)",Benedicte,,ELECTUARIUM
"Rostaing de Greoux (Manosque, 1547)",Triphera magna,,ELECTUARIUM
"Rostaing de Greoux (Manosque, 1547)",Hyera picra,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Triphera persica,,ELECTUARIUM
"Rostaing de Greoux (Manosque, 1547)",Dya prunis laxativi,,ELECTUARIUM
"Rostaing de Greoux (Manosque, 1547)",Dya prunis simplicis,,ELECTUARIUM
"Rostaing de Greoux (Manosque, 1547)",Indi maioris,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Confectio de succo rosarum en opiato,Rosa,ELECTUARIUM
"Rostaing de Greoux (Manosque, 1547)",Bijon,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Zinziber vert en deux potz,Zingiber,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Amandes confides,Amygdala,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Yranges confides,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Roses confides,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Pillule lucis maiores,,PILLULA
"Rostaing de Greoux (Manosque, 1547)",Pillule de lapide lazuli,,PILLULA
"Rostaing de Greoux (Manosque, 1547)",Pillule artetice,,PILLULA
"Rostaing de Greoux (Manosque, 1547)",Pillule sine quibus,,PILLULA
"Rostaing de Greoux (Manosque, 1547)",Pillule de serapine,,PILLULA
"Rostaing de Greoux (Manosque, 1547)",Pillule de hyera simplicis,,PILLULA
"Rostaing de Greoux (Manosque, 1547)",Pillule de assanret,,PILLULA
"Rostaing de Greoux (Manosque, 1547)",Pillule de sercacolla,,PILLULA
"Rostaing de Greoux (Manosque, 1547)",Pillule de euphorbio,Euphorbia,PILLULA
"Rostaing de Greoux (Manosque, 1547)",Pillule phetide maiores,,PILLULA
"Rostaing de Greoux (Manosque, 1547)",Pillule de castoreo,Castoreum,PILLULA
"Rostaing de Greoux (Manosque, 1547)",Pillule de V generibus,,PILLULA
"Rostaing de Greoux (Manosque, 1547)",Pillule stomatice,,PILLULA
"Rostaing de Greoux (Manosque, 1547)",Pillule auree,,PILLULA
"Rostaing de Greoux (Manosque, 1547)",Pillule de agarico,Agaricus,PILLULA
"Rostaing de Greoux (Manosque, 1547)",Pillule ruffi,,PILLULA
