Inventaire,Item_Original,Latin_Standard,Categorie
"Steve Villa (Aix, 1506)",escustum,,SIMPLE
"Steve Villa (Aix, 1506)",semen cituta,,SEMEN
"Steve Villa (Aix, 1506)",semen plantaginis,Plantago,SEMEN
"Steve Villa (Aix, 1506)",semen lactuce,Lactuca,SEMEN
"Steve Villa (Aix, 1506)",semen scariole,,SEMEN
"Steve Villa (Aix, 1506)",semen petro,,SEMEN
"Steve Villa (Aix, 1506)",semen viollarum,,SEMEN
"Steve Villa (Aix, 1506)",semen squille,Squilla,SEMEN
"Steve Villa (Aix, 1506)",semen,,SIMPLE
"Steve Villa (Aix, 1506)",semen citrulli,,SEMEN
"Steve Villa (Aix, 1506)",semen papaverum albi,,SEMEN
"Steve Villa (Aix, 1506)",semen bis malve,,SEMEN
"Steve Villa (Aix, 1506)",semen bruci speragi,Asparagus,SEMEN
"Steve Villa (Aix, 1506)",semen ameos,,SEMEN
"Steve Villa (Aix, 1506)",semen carvy,Carum,SEMEN
"Steve Villa (Aix, 1506)",semen aneti,Anethum,SEMEN
"Steve Villa (Aix, 1506)",semen nasturci,,SEMEN
"Steve Villa (Aix, 1506)",semen jenuperi,,SEMEN
"Steve Villa (Aix, 1506)",semen apii,Apium,SEMEN
"Steve Villa (Aix, 1506)",semen portullace,,SEMEN
"Steve Villa (Aix, 1506)",semen nepite,,SEMEN
"Steve Villa (Aix, 1506)",semen sumac,Sumac,SEMEN
"Steve Villa (Aix, 1506)",semen stincorum,,SEMEN
"Steve Villa (Aix, 1506)",semen cithoniorum,,SEMEN
"Steve Villa (Aix, 1506)",semen bardane,,SEMEN
"Steve Villa (Aix, 1506)",semen urtice,,SEMEN
"Steve Villa (Aix, 1506)",semen staphizagrie,,SEMEN
"Steve Villa (Aix, 1506)",semen bulbi,,SEMEN
"Steve Villa (Aix, 1506)",semen citri,,SEMEN
"Steve Villa (Aix, 1506)",semen levisticis,,SEMEN
"Steve Villa (Aix, 1506)",semen lini,,SEMEN
"Steve Villa (Aix, 1506)",semen orobi,,SEMEN
"Steve Villa (Aix, 1506)",semen meloni,,SEMEN
"Steve Villa (Aix, 1506)",semen dauci,Daucus,SEMEN
"Steve Villa (Aix, 1506)",litargiri auri,,SIMPLE
"Steve Villa (Aix, 1506)",semen cinoni,,SEMEN
"Steve Villa (Aix, 1506)",semen aceptoze,,SEMEN
"Steve Villa (Aix, 1506)",semen berberis,,SEMEN
"Steve Villa (Aix, 1506)",semen aneti,Anethum,SEMEN
"Steve Villa (Aix, 1506)",cantaridarum,,SIMPLE
"Steve Villa (Aix, 1506)",semen malve,,SEMEN
"Steve Villa (Aix, 1506)",castorey,,SIMPLE
"Steve Villa (Aix, 1506)",semen rupte,,SEMEN
"Steve Villa (Aix, 1506)",yera pigre,,SIMPLE
"Steve Villa (Aix, 1506)",dya nucis net,,ELECTUARIUM
"Steve Villa (Aix, 1506)",loch de cassie,Cassia_fistula,SIMPLE
"Steve Villa (Aix, 1506)",triffemagne composite,,SIMPLE
"Steve Villa (Aix, 1506)",justini,,SIMPLE
"Steve Villa (Aix, 1506)",thanoarindorum,,SIMPLE
"Steve Villa (Aix, 1506)",olei de lilio,,OLEUM
"Steve Villa (Aix, 1506)",olei masticis,Mastix,OLEUM
"Steve Villa (Aix, 1506)",olei castorey,,OLEUM
"Steve Villa (Aix, 1506)",olei meliloti,,OLEUM
"Steve Villa (Aix, 1506)",olei de papavere,,OLEUM
"Steve Villa (Aix, 1506)",poudres restrectives,,SIMPLE
"Steve Villa (Aix, 1506)",dya moron,,ELECTUARIUM
"Steve Villa (Aix, 1506)",olei nenuffaris,,OLEUM
"Steve Villa (Aix, 1506)",olei scorpionis,,OLEUM
"Steve Villa (Aix, 1506)",olei anecti,,OLEUM
"Steve Villa (Aix, 1506)",olei camomille,Chamomilla,OLEUM
"Steve Villa (Aix, 1506)",olei rupte,,OLEUM
"Steve Villa (Aix, 1506)",olei rosarum,Rosa,OLEUM
"Steve Villa (Aix, 1506)",olei mandragore,Mandragora,OLEUM
"Steve Villa (Aix, 1506)",olei absincii,,OLEUM
"Steve Villa (Aix, 1506)",olei cimini,,OLEUM
"Steve Villa (Aix, 1506)",cerotum sandalinum,,EMPLASTRUM
"Steve Villa (Aix, 1506)",unguentum bethonice,,UNGUENT
"Steve Villa (Aix, 1506)",unguentum marciaton,,UNGUENT
"Steve Villa (Aix, 1506)",unguentum bazelicon,,UNGUENT
"Steve Villa (Aix, 1506)",unguentum dyaltea,,UNGUENT
"Steve Villa (Aix, 1506)",unguentum defensorum,,UNGUENT
"Steve Villa (Aix, 1506)",unguentum aragon,,UNGUENT
"Steve Villa (Aix, 1506)",unguentum comitis,,UNGUENT
"Steve Villa (Aix, 1506)",unguentum thutie,,UNGUENT
"Johannes Cambarelli (Marseille, 1432)",Siropus de buglosse cum melle,Borago,CYRUPUS
"Johannes Cambarelli (Marseille, 1432)",Scolopendrie,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",IIII ll.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Endivie,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",V ll. ½.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Mina citoniorum,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",IX ll. ½.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Siropus sticades.,,CYRUPUS
"Johannes Cambarelli (Marseille, 1432)",net,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Siropus abcinci cum melle,Mel,CYRUPUS
"Johannes Cambarelli (Marseille, 1432)",III ll.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Siropus contra gutam.,,CYRUPUS
"Johannes Cambarelli (Marseille, 1432)",Siropus borraginis.,Borago,CYRUPUS
"Johannes Cambarelli (Marseille, 1432)",Siropus nenufaris.,Nymphaea,CYRUPUS
"Johannes Cambarelli (Marseille, 1432)",Diaprunis,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Siropus de fumoterre,Fumaria,CYRUPUS
"Johannes Cambarelli (Marseille, 1432)",III ll. cum melle.,Mel,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Siropus de bizancis,,CYRUPUS
"Johannes Cambarelli (Marseille, 1432)",.I. ll. qrtn. ½.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",II cabras,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Diamoro,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",V ll.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Oximel diuretici.,,ELECTUARIUM
"Johannes Cambarelli (Marseille, 1432)",Melle violati,Mel,CONFITURE
"Johannes Cambarelli (Marseille, 1432)",I gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Oli rosati,,OLEUM
"Johannes Cambarelli (Marseille, 1432)",II gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Oli violati,Viola,OLEUM
"Johannes Cambarelli (Marseille, 1432)",III Cls.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",de lilio .I. ll.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",II Cls.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Oli papaveris .I. ll.,Papaver,OLEUM
"Johannes Cambarelli (Marseille, 1432)",I gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Oli papaveris,Papaver,OLEUM
"Johannes Cambarelli (Marseille, 1432)",II Cls.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Oley abcinci.I. ll.,,OLEUM
"Johannes Cambarelli (Marseille, 1432)",III Cls.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Oli ruthe .I. ll.,Ruta,OLEUM
"Johannes Cambarelli (Marseille, 1432)",II Cls.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Oley manoragorati .I. ll.,,OLEUM
"Johannes Cambarelli (Marseille, 1432)",I gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",qrtn.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",ll.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Oley masticis,Mastix,OLEUM
"Johannes Cambarelli (Marseille, 1432)",I gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Oli anitl,,OLEUM
"Johannes Cambarelli (Marseille, 1432)",I gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Oley sanbuci,,OLEUM
"Johannes Cambarelli (Marseille, 1432)",II Cls.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Oley de lilio .I. ll.,,OLEUM
"Johannes Cambarelli (Marseille, 1432)",II Cls.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Oli lauri,,OLEUM
"Johannes Cambarelli (Marseille, 1432)",II ll.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",I gros,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Oli nardi,Nardus,OLEUM
"Johannes Cambarelli (Marseille, 1432)",Oley scorpionis,,OLEUM
"Johannes Cambarelli (Marseille, 1432)",Yssarop de sucre,,CYRUPUS
"Johannes Cambarelli (Marseille, 1432)",Yssarop de mel,,CYRUPUS
"Johannes Cambarelli (Marseille, 1432)",I Fl.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Olis e mels,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",I Fl.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Somma tot,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Sandilis,Santalum,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",II ll.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Squinanti,Squinanthum,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",V ℥½,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Plonbi usti,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",I ℥½,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Lapis lazuli,Lapis_lazuli,LAPIS
"Johannes Cambarelli (Marseille, 1432)",I ℥½,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Lapis iudaici et lincis,,LAPIS
"Johannes Cambarelli (Marseille, 1432)",VIII ℥,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Lapis amatistis,,LAPIS
"Johannes Cambarelli (Marseille, 1432)",I ll.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Iasintorum,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",I ℥½,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Granatorum I,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",I gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Calaminarum I,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",I Cl.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Mus de spanha III,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",I gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Osi de cor de ser III,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",I gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Margaritarum,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",I gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",ll.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Fenigreci,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",I Cl.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Boli Ar[meni],,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",II Cls.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Calafonie,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",II Cls.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Sene,Senna,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",I ll.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Folii,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",qrtn ½,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Reubarum,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",I ll.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Vitriol,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",III qrtn ½,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",emblics,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Mirabolanorum,Myrobalanus,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",I ll.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",[M]. belericorum,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",I qrnt.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Mirabolanorum indi,Myrobalanus,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",[M] citrinorum,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",I qrnt.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",[M] kebulorum,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",III qrnt.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Avenat,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Vernis,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",IIII ll.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Alfite,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",II gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Garipot,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",II gros,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Siera verda gomada,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",III gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Ossis de co[r] de ser[vi] XVI,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",VI gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Grana de lin,,SEMEN
"Johannes Cambarelli (Marseille, 1432)",III Cls.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",qrtn.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Croci oriental,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",II gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Boli Ar[meni],,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",V gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Triacla,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",X gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Mitridat,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",I qrtn.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Papaveri albi,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Electuari de sucorum V,,ELECTUARIUM
"Johannes Cambarelli (Marseille, 1432)",V gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Spice celtice,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",III gros,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Electuari de citro III,,ELECTUARIUM
"Johannes Cambarelli (Marseille, 1432)",III gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",X Fl.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Dictami,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",I qrtn.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Cornu ser(vi) usti,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",II Cls.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Vermelho I,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",III Cls.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Blate biza[ncie] I,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",II Cls.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Asungio veteri,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",I gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Ster[cor]e lazerti III dr.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",II Cls.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Alun zucari,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",II gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Acacie III,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",II gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Cristalli I,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",II Cls.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Sal armo[n]iac,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",III gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Succi liquiricie,,SUCCUS
"Johannes Cambarelli (Marseille, 1432)",I gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Sal ge[mme] .I. ll.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",III gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Lapis calaminarum.,,LAPIS
"Johannes Cambarelli (Marseille, 1432)",Lapis sanguinarum XIIII,,LAPIS
"Johannes Cambarelli (Marseille, 1432)",I gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Aza fetida,Asa_foetida,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",III gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Tutia,Tutia,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Ypoquistidos,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",III qrtn ½,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Alun de plume I,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",II Cls.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Coralhi albi rubei,Corallium,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",I gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Cantaridarum I,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",I Cl.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Gommi elemi,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Entalis,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Cortici bugie,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",I gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",.I.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Euforbi .I. qrtn.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",I gros,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Angelot III,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",II gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Anacardi I,Anacardium,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",I gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Gommi serapini,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",II gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Spice celtice,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Terre sigilate,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",I gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",qrtn.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Stincorum,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",II gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Bedeli,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",II gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",ll.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Magna granata,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",XV gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Ligni aloe,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",II gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",qrtn.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Sulfuri vivi,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",I gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Storaci rubey,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",I gros II,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",qrtn.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Mira,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",I gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",qrtn.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Spodi,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",III gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",qrtn.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Opoponaci,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",VI gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",qrtn.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Coloquintide,Colocynthis,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",II gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Razure eboris,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",VI Fl.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",II Cls.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Unguentum dialte,,UNGUENT
"Johannes Cambarelli (Marseille, 1432)",[Unguentum] Agripa,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",III qr.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",[U] Marciaton,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",V ll.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Unguentum album,,UNGUENT
"Johannes Cambarelli (Marseille, 1432)",II ll. ½,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Unguentum litargi,,UNGUENT
"Johannes Cambarelli (Marseille, 1432)",II gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Unguentum apostolorum,,UNGUENT
"Johannes Cambarelli (Marseille, 1432)",VIII gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Unguentum populeon,,UNGUENT
"Johannes Cambarelli (Marseille, 1432)",II gros,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Unguentum aragon,,UNGUENT
"Johannes Cambarelli (Marseille, 1432)",IIII gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Unguentum fusc,,UNGUENT
"Johannes Cambarelli (Marseille, 1432)",VI gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Asungie aneris,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",I gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Medule servi,,GRAISSE
"Johannes Cambarelli (Marseille, 1432)",II Cls.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Unguentum comitissae,,UNGUENT
"Johannes Cambarelli (Marseille, 1432)",III gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Iere pigre,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",I gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Benedicte,,ELECTUARIUM
"Johannes Cambarelli (Marseille, 1432)",IIII gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Diaprunis laxativi,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",II ll. ½,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Iustinum,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",VIII gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",ll.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Catarticum imperiale,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",III gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Antidotum contra lo,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",II gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Sotira ma[gna],,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",VI gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Ysopi humidi,Hyssopus,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",V gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",III Fl.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Conserve enulle campane,,CONSERVA
"Johannes Cambarelli (Marseille, 1432)",Conserve iringorum,,CONSERVA
"Johannes Cambarelli (Marseille, 1432)",I qr.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Conserve enulle campane,,CONSERVA
"Johannes Cambarelli (Marseille, 1432)",II gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",ll.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Trifere magna,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",II gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Trifere ceracenica.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Opii thebayssi .I. on,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",I gros,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Trocis pilolas,,TROCISCUS
"Johannes Cambarelli (Marseille, 1432)",Soma,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",I bras de fere an las cupas,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",VI gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",I terandier per colar siera,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",II gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",gacletas per flors,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",VI gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",boiseta per argent vieu,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",I gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",tauleta per scrienre,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",I gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",caiseta per tenir pes,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",I gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",II ordidors per candelas,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",II gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",I ordidors per torchas,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",I gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",I banc davant lo taulier de botigue,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",III gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",basineta per specias,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",I gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",I scala de botigua,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",III gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",capseta per tenir pebre gingibre,Zingiber,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",I gros.,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Soma,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Conserve borraginis,Borago,CONSERVA
"Johannes Cambarelli (Marseille, 1432)",I ll. ½,,SIMPLE
"Johannes Cambarelli (Marseille, 1432)",Conserve buglosse,Borago,CONSERVA
"Johannes Cambarelli (Marseille, 1432)",Conserve violarm,Viola,CONSERVA
