Entry#,OldFrench,Latin,French,Thermal,ThermalDeg,Moisture,MoistureDeg
821,OPOPANAC,Opopanax,Opopanax,calidum,3,siccum,3
829,OPIUM,Opium,Opium,frigidum,4,siccum,4
835,ORIGANUM,Origanum,Origan,calidum,3,siccum,3
842,OSIFENICIA,,,frigidum,2,siccum,2
844,ORGE,,,frigidum,,siccum,
847,OS DE CUER DE CERF,,,frigidum,,siccum,
851,OS DE SECHE,,,frigidum,,siccum,
854,OLIBANUM,Olibanum/Thus,Encens,calidum,2,siccum,2
867,POIVRES,Piper,Poivre,calidum,4,siccum,4
874,(Fol. 57 b) PIOME,,,calidum,2,,2
880,PAVOT,Papaver,Pavot,frigidum,,siccum,
884,PEUCED4NUM,Peucedanum,Peucedane,calidum,,siccum,
888,PERESIL,Petroselinum,Persil,calidum,3,siccum,3
889,POLLICAIRE,Pulicaria,Herbe aux puces,calidum,,siccum,
894,FIGNOLES,,,calidum,,humidum,
896,FRUNES,,,frigidum,,humidum,
898,FENIDES,,,calidum,,,
908,POLIPODE,Polypodium,Polypode,calidum,,siccum,
911,PETROLEUM,Petroleum,Petrole,calidum,4,siccum,4
918,PARITAIRE,Parietaria,Paritaire,calidum,3,siccum,3
922,PORÏULAGUE,Portulaca,Pourpier,frigidum,3,siccum,3
925,PULEGIUM,Pulegium/Mentha pulegium,Pouliot,calidum,3,siccum,3
930,POIRES,,,calidum,,,
937,PASSES,,,calidum,,humidum,
942,PLOMS,,,calidum,2,,2
945,POLIOEL,,,calidum,,,
948,POIZ,,,calidum,2,siccum,2
977,RAFFLES,,,,2,siccum,2
983,RAIZ,,,calidum,2,siccum,2
984,REUBARBE,Rheum/Rhabarbarum,Rhubarbe,calidum,2,siccum,2
988,REUPONTIC,Rhaponticum,Reupontic,calidum,,siccum,
989,RUREE,,,calidum,2,siccum,2
992,RUE,Ruta,Rue,calidum,2,,2
1007,(Fol. 65 b) ROS MARIN,,,calidum,,siccum,
1015,RUEE ce est boissons,,,calidum,,siccum,
1032,STORIAUX,Storax,Styrax,calidum,1,siccum,1
1040,STRIGNUM3 SOLATRUM'',Solanum,Morelle,frigidum,2,siccum,2
1047,SEUZ,,,calidum,,,
1048,SUMAC,Sumac/Rhus,Sumac,calidum,3,,3
1049,SANDLES,Santalum,Santal,calidum,3,siccum,3
1051,SAGAPIN,Sagapenum,Sagapenum,calidum,3,siccum,3
1057,SEMPERVIVA,Sempervivum,Joubarbe,frigidum,4,,4
1062,S1SELE0S«,,,calidum,2,siccum,2
1065,SOFFRE,Sulfur,Soufre,calidum,2,siccum,2
1070,SANC DE DRAGON,Sanguis draconis,Sang de dragon,frigidum,3,siccum,3
1073,O aucune chose,,,calidum,1,siccum,1
1077,SATIRIQN 1,Orchis/Satyrion,Satyrion,calidum,3,siccum,3
1081,SPODE,Spodium,Spode,frigidum,4,siccum,4
1087,SÏYNS,,,calidum,3,siccum,3
1088,SCORDEON,Scordium/Teucrium,Scordium,calidum,3,siccum,3
1090,SAVON ‘,,,calidum,,siccum,
1093,SAUGE,Salvia,Sauge,calidum,2,siccum,2
1096,(Fol. 70 b) SCABIOSE,,,calidum,2,siccum,2
1102,SENACIONS,,,calidum,2,siccum,2
1104,SERPENTAIRE,Dracunculus/Serpentaria,Serpentaire,calidum,,siccum,
1108,SÉNÉ,Senna,Sene,calidum,,siccum,
1109,SERPAUX,,,calidum,,siccum,
1113,SARRIEE,Satureja,Sarriette,calidum,,siccum,
1116,(Fol. 71 a) TARTHARUM,,,calidum,,siccum,
1123,TERRE SOILLEE,Terra sigillata,Terre scellee,frigidum,,siccum,
1125,(Tuile rosat,,,calidum,2,siccum,2
1127,(Fol. 71 c) TYTLMAL 3,,,calidum,3,siccum,3
1130,TU R BIT,Turbith,Turbith,calidum,3,siccum,3
1132,TAUPSE,,,calidum,3,siccum,3
1134,TOILES D’IRAIGNES,,,frigidum,,,
249,CENTAURE,Centaurea,Centauree,calidum,3,siccum,3
954,ROSES,Rosa,Rose,frigidum,1,siccum,2
1022,SPIC,Lavandula,Lavande,calidum,2,siccum,2
1,ACHE,Apium,Ache/Celeri,calidum,3,siccum,2
[STD],VIOLETE,Viola,Violette,frigidum,1,humidum,1
[STD],PLANTAIN,Plantago,Plantain,frigidum,2,siccum,2
[STD],GENCIANE,Gentiana,Gentiane,calidum,2,siccum,2
